sampling_rate,starttime,npts,network,station,location,channel,mseed,_format,dep,olon,olat,otime,slat,slon,selv,azimuth,back_azimuth,repi,rhyp,p_time,s_time,delta,endtime,wstart_requested,wend_requested,wstart,wend,id,resolution_floor,estimator,pass_snr,lower-f-bound,upper-f-bound,llpsp,llpsp-stderr,fc,fc-stderr,ts,ts-stderr,aic,bic,chisqr,redchi,pass_fitting
100.0,2019-08-26T07:30:49.580000Z,305,LV,L001,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.82040142078019,-2.9292795997382197,23.0,34.757437408634836,214.7909277464741,4.794079929979485,5.219115957231848,2019-08-26T07:30:48.729390Z,2019-08-26T07:30:49.784790Z,0.01,2019-08-26T07:30:52.620000Z,2019-08-26T07:30:49.583710Z,2019-08-26T07:30:52.623710Z,2019-08-26T07:30:49.580000Z,2019-08-26T07:30:52.620000Z,LV.L001..HHE,0.32786885245901637,multitaper,True,0.6514565439976477,47.39421263878397,-4.614150741373396,,4.39451971849068,,0.023063898285311968,,-223.0906917961683,-214.2021579053886,28.812572023837973,0.20580408588455695,True
100.0,2019-08-26T07:30:51.280000Z,335,LV,L002,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.8348038686189,-2.837621899060794,17.0,57.66643697562753,237.77390390954272,10.375158192320777,10.577105299451308,2019-08-26T07:30:49.758130Z,2019-08-26T07:30:51.613070Z,0.01,2019-08-26T07:30:54.620000Z,2019-08-26T07:30:51.282082Z,2019-08-26T07:30:54.622082Z,2019-08-26T07:30:51.280000Z,2019-08-26T07:30:54.620000Z,LV.L002..HHE,0.29850746268656714,multitaper,True,0.9047816035221763,33.671572687956086,-5.154718174617927,,5.888484541415679,,0.041820750936566675,,-348.9926968347866,-340.9186531880992,4.197689058945454,0.0396008401787307,True
100.0,2019-08-26T07:30:52.290000Z,291,LV,L006,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.691222529762875,-2.8803696714002265,7.0,150.21747677619854,330.2903766429392,12.024168531302621,12.197165157083356,2019-08-26T07:30:50.118250Z,2019-08-26T07:30:52.749640Z,0.01,2019-08-26T07:30:55.190000Z,2019-08-26T07:30:52.293362Z,2019-08-26T07:30:55.193362Z,2019-08-26T07:30:52.290000Z,2019-08-26T07:30:55.190000Z,LV.L006..HHE,0.3436426116838488,multitaper,True,0.6993006993006994,38.851394635233305,-4.6010918033340635,,3.0073007828757046,,0.06653703789902021,,-285.14886793345676,-277.02027732951973,8.057210679945857,0.07460380259209128,True
100.0,2019-08-26T07:30:53.420000Z,280,LV,L007,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.74107330673488,-2.727394193116982,28.0,106.85025555262945,287.04656560813777,16.779476783691862,16.906432655485137,2019-08-26T07:30:51.091660Z,2019-08-26T07:30:53.963650Z,0.01,2019-08-26T07:30:56.210000Z,2019-08-26T07:30:53.419252Z,2019-08-26T07:30:56.209252Z,2019-08-26T07:30:53.420000Z,2019-08-26T07:30:56.210000Z,LV.L007..HHE,0.3571428571428571,multitaper,True,0.7251930841590306,26.301066520951487,-5.546449213086524,,6.36897180313234,,0.061822595063173225,,-267.68695273474714,-260.8989131036232,1.5037080092233377,0.02211335307681379,True
100.0,2019-08-26T07:30:54.990000Z,240,LV,L008,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.60229425885455,-3.0432888011210237,17.0,193.2814921719469,13.223059953346509,20.893749354365784,20.99476151526996,2019-08-26T07:30:51.848220Z,2019-08-26T07:30:55.724340Z,0.01,2019-08-26T07:30:57.380000Z,2019-08-26T07:30:54.989116Z,2019-08-26T07:30:57.379116Z,2019-08-26T07:30:54.990000Z,2019-08-26T07:30:57.380000Z,LV.L008..HHE,0.4166666666666667,multitaper,True,2.873372036131731,18.888747059335977,-5.79318093753845,,19.41804411012269,,0.0657830718796808,,-136.5471436656819,-131.55645872729295,1.008542964962402,0.028015082360066723,True
100.0,2019-08-26T07:30:50.280000Z,355,LV,L009,,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 6, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 3072})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.776126658725424,-3.036969393335407,10.0,257.24355559876744,77.1901566402,4.474107150445977,4.921395614424004,2019-08-26T07:30:48.709670Z,2019-08-26T07:30:50.609210Z,0.01,2019-08-26T07:30:53.820000Z,2019-08-26T07:30:50.279302Z,2019-08-26T07:30:53.819302Z,2019-08-26T07:30:50.280000Z,2019-08-26T07:30:53.820000Z,LV.L009..HHE,0.2816901408450704,multitaper,True,0.6756756756756757,45.738160295630905,-5.045543086202197,,4.322821567484026,,0.03267724205139566,,-465.66264975481613,-456.43712830911466,8.392028391629381,0.05345241013776676,True
100.0,2019-08-26T07:30:55.410000Z,214,UR,AQ01,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 4, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 2048})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.606574367755925,-2.793122391617827,24.0,149.3517955578479,329.4949673487603,23.068675087418224,23.16082611412793,2019-08-26T07:30:52.229430Z,2019-08-26T07:30:55.987870Z,0.01,2019-08-26T07:30:57.540000Z,2019-08-26T07:30:55.406182Z,2019-08-26T07:30:57.536182Z,2019-08-26T07:30:55.410000Z,2019-08-26T07:30:57.540000Z,UR.AQ01.00.HHE,0.4672897196261682,multitaper,True,0.94187613565413,30.85084146113449,-5.573028010250553,,9.86287102071877,,0.07970413390017672,,-176.94824669389044,-170.47159744381142,3.6704590234969174,0.06017145940158881,True
200.0,2019-08-26T07:30:50.270000Z,676,UR,AQ03,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 10, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5120})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.75959367161754,-2.8866277812041634,23.0,116.99081879250696,297.0587022694835,6.228505095469649,6.561268530116061,2019-08-26T07:30:49.039290Z,2019-08-26T07:30:50.246440Z,0.005,2019-08-26T07:30:53.645000Z,2019-08-26T07:30:50.270010Z,2019-08-26T07:30:53.645010Z,2019-08-26T07:30:50.270000Z,2019-08-26T07:30:53.645000Z,UR.AQ03.00.HHE,0.2958579881656805,multitaper,True,0.6211180124223602,77.6986744345617,-4.749033651965381,,2.834860267620146,,0.019049579928645866,,-513.8787804858423,-503.19673559279573,35.20358274370324,0.13697892118172467,True
200.0,2019-08-26T07:30:48.680000Z,635,UR,AQ04,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 9, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 4608})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.77599670909336,-2.9678370021713434,15.0,169.0666983289113,349.0690726199328,1.0229761609894517,2.2955402906402487,2019-08-26T07:30:48.111050Z,2019-08-26T07:30:48.675880Z,0.005,2019-08-26T07:30:51.850000Z,2019-08-26T07:30:48.677914Z,2019-08-26T07:30:51.847914Z,2019-08-26T07:30:48.680000Z,2019-08-26T07:30:51.850000Z,UR.AQ04.00.HHE,0.31496062992125984,multitaper,True,0.9407138328094745,87.288590981566,-5.009010559865395,,6.356409308975464,,0.012962173898439344,,-412.17814131538984,-401.3278280223901,60.10681990531029,0.220980955534229,True
200.0,2019-08-26T07:30:49.280000Z,671,UR,AQ05,00,HHE,"AttribDict({'dataquality': 'D', 'number_of_records': 11, 'encoding': 'STEIM1', 'byteorder': '>', 'record_length': 512, 'filesize': 5632})",MSEED,2.04,-2.97078,53.785021,2019-08-26T07:30:47.000000Z,53.81380115015182,-2.9666353952069833,11.0,4.8712257508918935,184.87457025741492,3.2148869289292774,3.813410411403462,2019-08-26T07:30:48.479510Z,2019-08-26T07:30:49.310430Z,0.005,2019-08-26T07:30:52.630000Z,2019-08-26T07:30:49.279246Z,2019-08-26T07:30:52.629246Z,2019-08-26T07:30:49.280000Z,2019-08-26T07:30:52.630000Z,UR.AQ05.00.HHE,0.29806259314456035,multitaper,True,0.5988023952095809,77.612857664939,-4.759449041054338,,59.63832806835396,,0.046850274691071725,,-397.59511476423313,-386.9362360094683,53.981286201252324,0.2116913184362836,True
